Name,Kitchen,Time,Rate,Price,Metro
Positano,Итальянская кухня,Открыто до 00:00,Промо,1700 - 3000,Маяковская
Рыба моя,Европейская кухня,Открыто до 00:00,9.4,1700 - 3000,Цветной бульвар;Трубная
Lao Lee Café,Вьетнамская кухня,Открыто до 23:00,9.4,700 - 1700,Новослободская;Менделеевская
Винный базар на Комсомольском,Европейская кухня,Открыто до 01:00,9.2,700 - 1700,Парк культуры;Фрунзенская
Lumberjack Bar,Американская кухня,Открыто до 00:00,9.0,1700 - 3000,Китай-город
Боэми,Сербская кухня,Открыто до 23:00,9.0,1700 - 3000,Краснопресненская;Баррикадная
Scrocchiarella,Итальянская кухня,Открыто до 00:00,9.0,700 - 1700,Китай-город
Энтузиаст,Американская кухня,Открыто до 00:00,9.0,700,Тверская;Пушкинская
I Like Wine,Европейская кухня,Открыто до 00:00,9.0,1700 - 3000,Чистые пруды;Тургеневская
Lucky Izakaya Bar,Японская кухня,Открыто до 00:00,9.0,1700 - 3000,Арбатская
Лепим и варим,Русская кухня,Открыто до 23:00,9.0,700,Тверская;Пушкинская
Хинкали Point,Хинкали,Открыто до 23:00,9.0,700,Китай-город
Бутчер,Американская кухня,Открыто до 00:00,9.0,3000,Китай-город
Mitzva Bar,Еврейская кухня,Открыто до 03:00,9.0,700 - 1700,Новокузнецкая;Третьяковская
Touché,Европейская кухня,Открыто до 23:00,8.9,1700 - 3000,Краснопресненская;Баррикадная
Китайская грамота,Китайская кухня,Открыто до 00:00,8.9,1700 - 3000,Чистые пруды;Тургеневская
Zodiac,Авторская кухня,Открыто до 00:00,8.9,1700 - 3000,Смоленская
Субботица Садовая,Европейская кухня,Открыто до 00:00,8.9,1700 - 3000,Маяковская;Краснопресненская
Натахтари на Маросейке,Грузинская кухня,Открыто до 00:00,8.9,700 - 1700,Китай-город
I Like Wine 2.0,Европейская кухня,Открыто до 00:00,8.9,1700 - 3000,Парк культуры
Grammy's,Караоке,Открыто до 06:00,8.8,3000,Киевская
Björn,Авторская кухня,Открыто до 00:00,8.8,1700 - 3000,Новокузнецкая;Третьяковская
Сахли,Грузинская кухня,Открыто до 23:00,8.8,1700 - 3000,Цветной бульвар;Трубная
Beer & Brut,Гастропабы,Открыто до 00:00,8.8,1700 - 3000,Чистые пруды;Курская
Рынок и общепит,Вайфай,Открыто до 23:00,8.8,700 - 1700,Новослободская;Менделеевская
Дарбази,Грузинская кухня,Открыто до 23:00,8.8,1700 - 3000,Таганская;Марксистская
Bổ,Вьетнамская кухня,Открыто до 21:00,8.8,700,Тульская
I Like Grill,Стейки,Открыто до 00:00,8.8,3000,Парк культуры
Let's Rock Bar,Европейская кухня,Открыто до 00:00,8.8,700 - 1700,Охотный Ряд;Театральная
