Name,Rate,active_price,address,metro
Гостиница Cosmos Moscow VDNH,8.5/10,3 420,"Москва, пр-т Мира, д. 150, 13 км трассы М-8",ВДНХ 343
Гостиница Аэростар,9.1/10,4 280,"Москва, пр. Ленинградский, д. 37. корп. 9, 7 км трассы М10",Петровский парк 651
"Отель Pentahotel Moscow, Arbat",9.3/10,7 200,"Москва, ул. Новый Арбат, д. 15",Арбатская 578
МИРРОС Отель Москва Кремль,9.3/10,8 400,"Москва, ул. Моховая, д. 10, стр. 1",Боровицкая 104
Броско Отель Арбат,9.3/10,8 500,"Москва, ул. Новый Арбат, д. 21 стр. 2",Смоленская 365
Отель Ибис Москва Павелецкая,8.7/10,4 990,"Москва, ул. Щипок, д. 22 с.1",Серпуховская 675
Апарт-отель Ханой-Москва,9.1/10,3 100,"Москва, Ярославское ш., 146к2",
Отель Maidens Hotel,10.0/10,19 550,"Москва, пл. Зубовская, д. 3с1",Парк Культуры 633
Отель Movenpick,9.4/10,14 900,"Москва, ул. Земляной вал, д. 70",Марксистская 375
Отель Интурист Коломенское,9.3/10,5 520,"Москва, ш. Каширское, д. 39Б",Москворечье МЦД-2 1.2
Гостиница Измайлово Бета,9.1/10,3 534,"Москва, Измайловское ш., д. 71к2Б",Партизанская 140
Отель Москва Красносельская,9.3/10,6 500,"Москва, ул. Верхняя Красносельская, д. 11а, с. 4",Красносельская 568
Marins Park Hotel Москва Пражская,9.3/10,4 200,"Москва, ул. Кировоградская, д. 11",Пражская 538
Гостиница Cosmos Smart Moscow Semenovskaya,9.8/10,5 100,"Москва, ул. Вельяминовская, д. 34",Семеновская 274
Гостиница Аструс Москва,9.1/10,5 750,"Москва, проспект Ленинский, д. 146",Юго-западная 1.1
Гостиница Cosmos Smart Moscow Dubininskaya,9.3/10,5 000,"Москва, ул. Дубининская, д. 33в",Павелецкая 719
Бутик-Отель Тульский,7.6/10,3 757,"Москва, ул. 2-я Рощинская, д. 10",Тульская 641
Отель Протон,8.9/10,6 000,"Москва, ул. Новозаводская, д. 22",Багратионовская 1.3
Апарт-отель Cosmos Stay Moscow Profsoyuznaya Hotel 3*,9.8/10,4 320,"Москва, ул. Профсоюзная, д. 154к3",Теплый Стан 399
Отель Sky Apartments,9.3/10,16 200,"Москва, Пресненская наб., д. 12",Международная 300
Апарт-отель Ваш Салют,8.7/10,3 600,"Москва, Ленинский пр-кт, д. 158",Тропарево 903
Гостиница Дом купца Бавыкина,9.6/10,4 000,"Москва, ул. Электрозаводская, д. 37/4с3",Преображенская Площадь
Отель Малетон,9.4/10,5 700,"Москва, ул. Гарибальди, д. 36/3",Новые Черемушки
Отель Марриотт Империал Плаза Москва,9.4/10,13 500,"Москва, ул. Краснопрудная, д. 12",Комсомольская
Гостиница Восход,7.6/10,2 390,"Москва, Алтуфьевское ш., д. 2",Владыкино
Апарт-отель SALUT-SATEEN by Sateen Group,9.4/10,5 500,"Москва, Ленинский просп., д. 158",Тропарево
Апарт-отель Шерстон,8.1/10,2 151,"Москва, Гостиничный пр-д, д. 8к1",Окружная МЦД-1
Апартаменты ГорЖилФонд на большой Очаковской,10/10,3 999,"Москва, ул. Большая Очаковская, д. 2",Аминьевская
Апартаменты Тут Живут HeadLiner Apart,7.4/10,5 400,"Москва, пр. Шмитовский, д. 39к8",Москва-Сити МЦД-4
Апартаменты На Берёзовой аллее,9.6/10,3 600,"Москва, ул. Берёзовая аллея, д. 19к2",Ботанический Сад
Имрус Отель Москва,9.1/10,5 000,"Москва, Новинский б-р, д. 22с1",Баррикадная
Хостел o2,8.9/10,1 100,"Москва, Ленинский пр-т, д. 131, эт. 1",Тропарево
Хостел Сон в кубе,9.1/10,"1 092,50","Москва, ул. Долгоруковская, д. 40",Новослободская
Отель Meet in,7.6/10,3 400,"Москва,  ул. Митинская, д. 52",Пятницкое шоссе
Хостел Автор Таганка,8.9/10,680,"Москва, ул. Александра Солженицына, д. 10, стр. 1",Марксистская
Хостел Точка,8.9/10,476,"Москва, ул. 5-я Кабельная, д. 2с10",Нижегородская
Гостиница Сретенская,8.9/10,8 000,"Москва, ул. Сретенка, д. 15",Сухаревская
Отель Измайлово Столица,9.3/10,3 660,"Москва, ш. Измайловское, д. 71к2Б",Партизанская
Копенгаген Лаунж-Отель,9.8/10,1 500,"Москва, ул. Буженинова, д. 2",Электрозаводская
Апартаменты Культура комфорта,,8 400,"Москва, Шмитовский пр-д, д. 39к8",Москва-Сити МЦД-4
Отель Автор Люблино,9.1/10,1 980,"Москва, ул. Краснодонская, д. 24с2",Люблино
Гостевой дом Брестоль,9.1/10,"5 347,50","Москва, Страстной б-р, д. 7, стр. 2",Чеховская
Хостел Cube,7.9/10,1 299,"Москва, б-р Новинский, д. 16, стр. 2",Смоленская
Хостел Timelapse II,10/10,1 250,"Москва, просп. Мира, д. 95",Алексеевская
Лубянка Арт Отель,8.9/10,4 250,"Москва, Армянский пер., д. 3-5, стр. 1а",Чистые Пруды
Гостиница Измайлово Гамма - Твой Отель,8.9/10,3 700,"Москва, ш. Измайловское, д. 71, корп. 4 Г-Д",Партизанская
Гостиница Ибис Москва Октябрьское Поле,9.3/10,4 221,"Москва, ул. Маршала Рыбалко, д. 2к5",Панфиловская
Гостиница Золотой Колос,8.9/10,3 800,"Москва, ул. Ярославская, д. 15к3",ВДНХ
Отель Шато Волго,8.7/10,6 000,"Москва, ул. Тверская, д. 9С5",Охотный Ряд
Гостиница Восток,9.4/10,4 700,"Москва, ул. Гостиничная, д. 9Ак3",Окружная МЦД-1
Отель Балчуг Кемпински Москва,9.4/10,22 000,"Москва, ул. Балчуг, д. 1",Новокузнецкая
Гостиница Арбат Хаус,8.5/10,6 100,"Москва, Скатертный пер., д. 13",Арбатская
Отель ShelterZ Электрозаводская,9.3/10,1 350,"Москва, ул. Большая Семёновская, д. 32, стр. 3",Электрозаводская
Отель SkyPoint,8.9/10,4 900,"Химки, Международное ш., 28Б, стр. 3",
Отель ASEAN,8.5/10,4 140,"Москва, пр. 17-й Марьиной Рощи, д. 11",Бутырская
Отель Travelto Петровский Парк,8.5/10,3 294,"Москва, Большой Коптевский пр., д. 3с7",Красный Балтиец МЦД-2
Апарт-отель YE'S Technopark,9.4/10,5 300,"Москва, пр-т Андропова, д. 10",Технопарк
Отель Holiday Tagansky,8.9/10,4 410,"Москва, ул. Симоновский Вал, д. 2",Крестьянская застава
Отель Cosmos Selection Moscow Sheremetyevo Airport Hotel,8.9/10,8 500,"Химки, ш. Международное, д. 1а",
ГородОтель на Казанском,8.3/10,1 800,"Москва, пл. Комсомольская, д. 2, 1 этаж",Комсомольская
Отель Red Brick,9.1/10,5 490,"Москва, пер. Хохловский, д. 10, стр. 6",Китай-город
Отель Marco Polo by Moss Hospitality,9.1/10,7 600,"Москва, Спиридоньевский пер., д. 9",Пушкинская
Бизнес-отель Бородино,9.3/10,4 600,"Москва, Русаковская ул.13/5",Митьково МЦД-3
Апарт-отель InPremium,9.1/10,15 480,"Москва, наб. Пресненская, д. 12",Международная
Гостиница Империя,8.7/10,3 700,"Москва, 1-й Боткинский пр-д, д. 6",Динамо
Апартаменты Восход,8.3/10,2 000,"Москва, Алтуфьевское ш., д. 2, 4 и 8 этаж",Владыкино
Апарт-отель Измайловский парк,9.3/10,4 700,"Москва, ул. Щербаковская, д. 57А",Измайлово
Corsa Vita Hotel,8.9/10,4 200,"Москва, ул. 1905 года, д. 10, стр. 1",Улица 1905 года
Отель Старосадский,9.3/10,4 000,"Москва, Старосадский пер., д. 8, стр. 3",Китай-город
Бутик-Отель The Rooms Boutique Hotel,9.1/10,7 358,"Москва, ул. Николоямская, д. 38",Марксистская
Апарт-отель Ye's Mitino,9.3/10,4 000,"Москва, ул. Митинская, д. 16",Волоколамская
Гостиница Набат Палас Арбат,9.4/10,6 893,"Москва, ул. Старый Арбат, д. 28/1, стр. 2",Смоленская
Отель Ситикомфорт на Тверской,8.3/10,3 600,"Москва, Малый Гнездниковский пер., д. 12",Тверская
Гостиница Измайлово Дельта - Твой Отель,9.1/10,4 200,"Москва, Измайловское ш., д. 71к4г-д",Партизанская
Отель Сан-Ремо,8.3/10,4 200,"Москва, ул. Народная, д. 20, стр. 2",Таганская
Отель ShelterS Тульская,9.1/10,1 370,"Москва, ул. Большая Тульская, д. 2",Тульская
Отель Максима Панорама,9.3/10,4 640,"Москва, ул. Мастеркова, д. 4, 7 км трассы М-6 (Р22)",Автозаводская
Мини-отель На Камергерском,8.3/10,4 800,"Москва, ул. Большая Дмитровка, д. 7/5, стр. 1",Театральная
Мини-отель Shelterz Парк Горького,9.1/10,1 350,"Москва, Ленинский пр-кт, д. 30",Ленинский Проспект
Апарт-отель BAFY HOME,7.2/10,3 799,"Москва, Ленинский пр., д. 158",Тропарево
Отель Гости,8.9/10,3 400,"Москва, пер. Электрический, д. 3/10с1",Белорусская МЦД-4
Гостиница БуддОтель Москва,8.9/10,2 125,"Москва, ул. Расковой, д. 24, стр. 4",Савеловская
Отель Максима Славия,9.1/10,3 040,"Москва, Ярославское ш., д. 44",Бабушкинская
Grada Boutique Hotel,8.9/10,7 000,"Москва, ул. Кузнецкий мост, д. 6/3, стр. 3",Театральная
Отель Агиос на Курской,8.9/10,3 750,"Москва, ул. Воронцово Поле, д. 16/4",Чкаловская
